timestamp, utilization.gpu [%], utilization.memory [%], pstate, pcie.link.gen.max, pcie.link.gen.current
2024/06/18 11:22:31.233, 79 %, 63 %, P0, 3, 3
2024/06/18 11:22:32.233, 81 %, 66 %, P0, 3, 3
2024/06/18 11:22:33.234, 82 %, 65 %, P0, 3, 3
2024/06/18 11:22:34.235, 80 %, 64 %, P0, 3, 3
2024/06/18 11:22:35.235, 81 %, 66 %, P0, 3, 3
2024/06/18 11:22:36.235, 79 %, 63 %, P0, 3, 3
2024/06/18 11:22:37.236, 82 %, 66 %, P0, 3, 3
2024/06/18 11:22:38.236, 78 %, 62 %, P0, 3, 3
2024/06/18 11:22:39.238, 82 %, 65 %, P0, 3, 3
2024/06/18 11:22:40.238, 57 %, 45 %, P0, 3, 3
2024/06/18 11:22:41.239, 72 %, 57 %, P0, 3, 3
2024/06/18 11:22:42.240, 77 %, 61 %, P0, 3, 3
2024/06/18 11:22:43.240, 77 %, 61 %, P0, 3, 3
2024/06/18 11:22:44.241, 76 %, 61 %, P0, 3, 3
2024/06/18 11:22:45.241, 58 %, 46 %, P0, 3, 3
2024/06/18 11:22:46.242, 80 %, 64 %, P0, 3, 3
2024/06/18 11:22:47.242, 56 %, 44 %, P0, 3, 3
2024/06/18 11:22:48.243, 78 %, 62 %, P0, 3, 3
2024/06/18 11:22:49.244, 77 %, 61 %, P0, 3, 3
2024/06/18 11:22:50.244, 78 %, 62 %, P0, 3, 3
2024/06/18 11:22:51.244, 78 %, 62 %, P0, 3, 3
2024/06/18 11:22:52.262, 75 %, 60 %, P0, 3, 3
2024/06/18 11:22:53.262, 81 %, 65 %, P0, 3, 3
2024/06/18 11:22:54.263, 76 %, 61 %, P0, 3, 3
2024/06/18 11:22:55.263, 63 %, 49 %, P0, 3, 3
2024/06/18 11:22:56.264, 56 %, 44 %, P0, 3, 3
2024/06/18 11:22:57.264, 79 %, 63 %, P0, 3, 3
2024/06/18 11:22:58.264, 63 %, 50 %, P0, 3, 3
2024/06/18 11:22:59.269, 79 %, 63 %, P0, 3, 3
2024/06/18 11:23:00.271, 81 %, 65 %, P0, 3, 3
2024/06/18 11:23:01.271, 82 %, 66 %, P0, 3, 3
2024/06/18 11:23:02.272, 65 %, 52 %, P0, 3, 3
2024/06/18 11:23:03.272, 77 %, 61 %, P0, 3, 3
2024/06/18 11:23:04.273, 75 %, 60 %, P0, 3, 3
2024/06/18 11:23:05.273, 80 %, 64 %, P0, 3, 3
2024/06/18 11:23:06.274, 71 %, 56 %, P0, 3, 3
2024/06/18 11:23:07.274, 74 %, 59 %, P0, 3, 3
2024/06/18 11:23:08.275, 75 %, 61 %, P0, 3, 3
2024/06/18 11:23:09.275, 77 %, 61 %, P0, 3, 3
2024/06/18 11:23:10.275, 51 %, 40 %, P0, 3, 3
2024/06/18 11:23:11.276, 79 %, 63 %, P0, 3, 3
2024/06/18 11:23:12.276, 74 %, 59 %, P0, 3, 3
2024/06/18 11:23:13.277, 77 %, 62 %, P0, 3, 3
2024/06/18 11:23:14.277, 49 %, 38 %, P0, 3, 3
2024/06/18 11:23:15.277, 74 %, 59 %, P0, 3, 3
2024/06/18 11:23:16.295, 77 %, 62 %, P0, 3, 3
2024/06/18 11:23:17.295, 73 %, 58 %, P0, 3, 3
2024/06/18 11:23:18.295, 77 %, 61 %, P0, 3, 3
2024/06/18 11:23:19.296, 52 %, 40 %, P0, 3, 3
2024/06/18 11:23:20.296, 60 %, 47 %, P0, 3, 3
2024/06/18 11:23:21.296, 77 %, 61 %, P0, 3, 3
2024/06/18 11:23:22.298, 74 %, 59 %, P0, 3, 3
2024/06/18 11:23:23.302, 57 %, 45 %, P0, 3, 3
2024/06/18 11:23:24.303, 73 %, 58 %, P0, 3, 3
2024/06/18 11:23:25.337, 75 %, 60 %, P0, 3, 3
2024/06/18 11:23:26.338, 74 %, 59 %, P0, 3, 3
2024/06/18 11:23:27.338, 54 %, 43 %, P0, 3, 3
2024/06/18 11:23:28.339, 78 %, 62 %, P0, 3, 3
2024/06/18 11:23:29.339, 79 %, 63 %, P0, 3, 3
2024/06/18 11:23:30.339, 65 %, 50 %, P0, 3, 3
2024/06/18 11:23:31.347, 77 %, 61 %, P0, 3, 3
2024/06/18 11:23:32.347, 75 %, 60 %, P0, 3, 3
2024/06/18 11:23:33.348, 54 %, 42 %, P0, 3, 3
2024/06/18 11:23:34.348, 77 %, 61 %, P0, 3, 3
2024/06/18 11:23:35.348, 78 %, 61 %, P0, 3, 3
2024/06/18 11:23:36.349, 74 %, 59 %, P0, 3, 3
2024/06/18 11:23:37.349, 78 %, 63 %, P0, 3, 3
2024/06/18 11:23:38.349, 74 %, 59 %, P0, 3, 3
2024/06/18 11:23:39.350, 75 %, 60 %, P0, 3, 3
2024/06/18 11:23:40.350, 76 %, 60 %, P0, 3, 3
2024/06/18 11:23:41.352, 57 %, 44 %, P0, 3, 3
2024/06/18 11:23:42.360, 78 %, 62 %, P0, 3, 3
2024/06/18 11:23:43.360, 72 %, 58 %, P0, 3, 3
2024/06/18 11:23:44.362, 72 %, 56 %, P0, 3, 3
2024/06/18 11:23:45.366, 76 %, 60 %, P0, 3, 3
2024/06/18 11:23:46.368, 78 %, 62 %, P0, 3, 3
2024/06/18 11:23:47.369, 56 %, 44 %, P0, 3, 3
2024/06/18 11:23:48.369, 77 %, 60 %, P0, 3, 3
2024/06/18 11:23:49.369, 35 %, 28 %, P0, 3, 3
2024/06/18 11:23:50.370, 77 %, 61 %, P0, 3, 3
2024/06/18 11:23:51.393, 78 %, 62 %, P0, 3, 3
2024/06/18 11:23:52.393, 57 %, 45 %, P0, 3, 3
2024/06/18 11:23:53.395, 64 %, 50 %, P0, 3, 3
2024/06/18 11:23:54.395, 74 %, 58 %, P0, 3, 3
2024/06/18 11:23:55.396, 71 %, 56 %, P0, 3, 3
2024/06/18 11:23:56.396, 57 %, 45 %, P0, 3, 3
2024/06/18 11:23:57.396, 69 %, 54 %, P0, 3, 3
2024/06/18 11:23:58.397, 76 %, 60 %, P0, 3, 3
2024/06/18 11:23:59.401, 77 %, 61 %, P0, 3, 3
2024/06/18 11:24:00.419, 73 %, 57 %, P0, 3, 3
2024/06/18 11:24:01.420, 77 %, 60 %, P0, 3, 3
2024/06/18 11:24:02.420, 74 %, 58 %, P0, 3, 3
2024/06/18 11:24:03.420, 57 %, 44 %, P0, 3, 3
2024/06/18 11:24:04.421, 75 %, 59 %, P0, 3, 3
2024/06/18 11:24:05.421, 69 %, 54 %, P0, 3, 3
2024/06/18 11:24:06.422, 70 %, 56 %, P0, 3, 3
2024/06/18 11:24:07.422, 73 %, 59 %, P0, 3, 3
2024/06/18 11:24:08.422, 53 %, 41 %, P0, 3, 3
2024/06/18 11:24:09.428, 75 %, 59 %, P0, 3, 3
2024/06/18 11:24:10.428, 76 %, 60 %, P0, 3, 3
2024/06/18 11:24:11.429, 59 %, 46 %, P0, 3, 3
2024/06/18 11:24:12.431, 77 %, 61 %, P0, 3, 3
2024/06/18 11:24:13.431, 54 %, 42 %, P0, 3, 3
2024/06/18 11:24:14.431, 75 %, 59 %, P0, 3, 3
2024/06/18 11:24:15.432, 76 %, 60 %, P0, 3, 3
2024/06/18 11:24:16.432, 54 %, 42 %, P0, 3, 3
2024/06/18 11:24:17.432, 69 %, 54 %, P0, 3, 3
2024/06/18 11:24:18.433, 61 %, 47 %, P0, 3, 3
2024/06/18 11:24:19.433, 36 %, 27 %, P0, 3, 3
2024/06/18 11:24:20.434, 71 %, 55 %, P0, 3, 3
2024/06/18 11:24:21.434, 77 %, 61 %, P0, 3, 3
2024/06/18 11:24:22.434, 44 %, 34 %, P0, 3, 3
2024/06/18 11:24:23.435, 73 %, 57 %, P0, 3, 3
2024/06/18 11:24:24.435, 64 %, 50 %, P0, 3, 3
2024/06/18 11:24:25.440, 71 %, 56 %, P0, 3, 3
2024/06/18 11:24:26.440, 54 %, 42 %, P0, 3, 3
2024/06/18 11:24:27.469, 71 %, 56 %, P0, 3, 3
2024/06/18 11:24:28.469, 44 %, 35 %, P0, 3, 3
2024/06/18 11:24:29.470, 73 %, 58 %, P0, 3, 3
2024/06/18 11:24:30.470, 71 %, 56 %, P0, 3, 3
2024/06/18 11:24:31.470, 71 %, 56 %, P0, 3, 3
2024/06/18 11:24:32.472, 73 %, 58 %, P0, 3, 3
2024/06/18 11:24:33.472, 75 %, 59 %, P0, 3, 3
2024/06/18 11:24:34.472, 75 %, 59 %, P0, 3, 3
2024/06/18 11:24:35.473, 74 %, 58 %, P0, 3, 3
2024/06/18 11:24:36.489, 76 %, 60 %, P0, 3, 3
2024/06/18 11:24:37.489, 62 %, 44 %, P0, 3, 3
2024/06/18 11:24:38.490, 74 %, 58 %, P0, 3, 3
2024/06/18 11:24:39.491, 76 %, 60 %, P0, 3, 3
2024/06/18 11:24:40.492, 74 %, 59 %, P0, 3, 3
2024/06/18 11:24:41.492, 52 %, 41 %, P0, 3, 3
2024/06/18 11:24:42.492, 56 %, 43 %, P0, 3, 3
2024/06/18 11:24:43.493, 74 %, 59 %, P0, 3, 3
2024/06/18 11:24:44.493, 54 %, 42 %, P0, 3, 3
2024/06/18 11:24:45.493, 56 %, 41 %, P0, 3, 3
2024/06/18 11:24:46.494, 73 %, 57 %, P0, 3, 3
2024/06/18 11:24:47.509, 52 %, 41 %, P0, 3, 3
2024/06/18 11:24:48.510, 61 %, 43 %, P0, 3, 3
2024/06/18 11:24:49.513, 78 %, 55 %, P0, 3, 3
2024/06/18 11:24:50.513, 78 %, 55 %, P0, 3, 3
2024/06/18 11:24:51.513, 79 %, 56 %, P0, 3, 3
2024/06/18 11:24:52.514, 74 %, 59 %, P0, 3, 3
2024/06/18 11:24:53.514, 56 %, 44 %, P0, 3, 3
